Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi_Instytut,Vokzalna,Universytet,Teatralna,Jreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova,Heroiv_Dnipra,Minska,Obolon,Pochaina,Tarasa_Sevchenka,Kontraktova_Polscha,Poschtova_Polscha,Maidan_Nezalezhnosti,Ploshcha_Lva_Tolstoho,Olimpiiska,Palats_Ukrania,Lybidska,Demiivska,Holosiivska,Vasylkiivska,Vystavkovyi_Tsentr,Ipodrom,Teremki,Syrets,Dorogozhychi,Lukianivska,Zoloti_Vorota,Palats_Sportu,Klovska,Pecherska,Druzhby_Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Jarkivska,Vyrlytsia,Boryspilska,Chervony_Jutir
Tarasa_Sevchenka,10.59,10.08,8.22,7.24,6.25,4.48,3.78,3.75,3.41,3.29,3.24,4.61,5.35,6.04,7.12,7.98,9.09,10.09,5.43,4.27,3.09,1.41,0,1.2,2.19,3.24,3.97,4.84,5.97,6.84,7.76,8.53,9.04,10.35,11.12,12.4,5.04,3.87,2.02,3.29,3.97,4.57,5.77,7.05,8.97,11.39,11.84,12.56,13.3,13.99,15.01,15.4
Kontraktova_Polscha,11.34,10.64,8.85,7.87,6.87,4.88,3.95,3.25,2.63,2.28,2.11,3.41,4.16,4.9,6.09,7.02,8.19,9.24,6.42,5.28,4.13,2.55,1.2,0,0.99568,2.11,2.94,3.86,4.97,5.82,6.81,7.64,8.3,9.66,10.46,11.8,5.95,4.74,2.29,2.28,2.94,3.43,4.63,5.9,7.83,10.2,10.64,11.36,12.12,12.84,13.86,14.29
Poschtova_Polscha,12.02,11.34,9.48,8.5,7.49,5.39,4.35,3.15,2.26,1.67,1.28,2.42,3.18,4,5.29,6.28,7.49,8.6,7.28,6.17,5.05,3.53,2.19,0.99568,0,1.28,2.21,3.16,4.22,5.04,6.08,6.98,7.77,9.17,10,11.39,6.77,5.56,2.89,1.67,2.21,2.53,3.71,4.97,6.88,9.21,9.65,10.38,11.15,11.88,12.92,13.36
Maidan_Nezalezhnosti,12.07,11.18,9.5,8.54,7.56,5.38,4.23,2.51,1.44,0.66289,0,1.74,2.62,3.76,5.28,6.38,7.66,8.82,8.52,7.39,6.24,4.64,3.24,2.11,1.28,0,0.94749,1.9,2.94,3.76,4.81,5.71,6.56,7.97,8.82,10.24,7.2,6,3.21,0.663,0.94749,1.33,2.53,3.8,5.74,8.27,8.78,9.62,10.49,11.3,12.4,12.93
Ploshcha_Lva_Tolstoho,11.94,11.06,9.34,8.41,7.47,5.27,4.11,2.1,1.12,0.68972,0.94749,1.99,2.83,4.13,5.73,6.86,8.16,9.35,9.35,8.2,7.04,5.38,3.97,2.94,2.21,0.94749,0,0.95763,2.04,2.89,3.89,4.78,5.62,7.03,7.89,9.31,7.39,6.23,3.48,0.68972,0,0.92403,1.98,3.2,5.12,7.88,8.45,9.4,10.35,11.22,12.36,12.97
Olimpiiska,12.05,11.01,9.42,8.52,7.62,5.46,4.33,2.21,1.59,1.57,1.9,2.52,3.2,4.55,6.19,7.34,8.64,9.84,10.25,9.1,7.92,6.24,4.84,3.86,3.16,1.9,0.95763,0,1.14,2.01,2.95,3.82,4.69,6.11,6.97,8.41,7.81,6.7,4.07,1.57,0.95763,1.23,1.66,2.68,4.51,7.48,8.1,9.14,10.17,11.09,12.26,12.94
Palats_Ukrania,12.7,11.67,10.08,9.22,8.38,6.28,5.19,3.11,2.69,2.69,2.94,3.05,3.51,4.83,6.45,7.58,8.86,10.06,11.37,10.22,9.05,7.37,5.97,4.97,4.22,2.94,2.04,1.14,0,0.87556,1.87,2.82,3.89,5.31,6.2,7.66,8.76,7.69,5.14,2.69,2.04,1.9,1.47,1.95,3.56,6.68,7.36,8.49,9.59,10.56,11.76,12.5
Lybidska,13.3,12.25,10.69,9.88,9.06,7.02,5.96,3.92,3.56,3.55,3.76,3.6,3.89,5.12,6.69,7.79,9.05,10.24,12.23,11.09,9.92,8.24,6.84,5.82,5.04,3.76,2.89,2.01,0.87556,0,1.17,2.19,3.47,4.85,5.76,7.24,9.55,8.51,6,3.55,2.89,2.6,1.8,1.62,2.86,6.08,6.8,7.99,9.14,10.14,11.36,12.15
Demiivska,13.28,12.16,10.72,9.97,9.24,7.32,6.36,4.49,4.37,4.51,4.81,4.76,5.05,6.25,7.78,8.87,10.11,11.29,13.18,12.02,10.84,9.14,7.76,6.81,6.08,4.81,3.89,2.95,1.87,1.17,0,1.02,2.41,3.73,4.63,6.11,9.97,9.01,6.69,4.51,3.89,3.73,2.97,2.55,3.11,6.35,7.12,8.39,9.59,10.64,11.88,12.73
Holosiivska,13.21,12.04,10.71,10.04,9.37,7.6,6.74,5.06,5.11,5.36,5.71,5.78,6.07,7.27,8.79,9.87,11.09,12.27,13.96,12.79,11.6,9.89,8.53,7.64,6.98,5.71,4.78,3.82,2.82,2.19,1.02,0,1.49,2.73,3.63,5.11,10.32,9.43,7.3,5.36,4.78,4.71,3.99,3.53,3.73,6.86,7.66,8.97,10.2,11.26,12.5,13.39
